2016-03-10 22:22:57 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:59 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:01 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:03 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:05 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:07 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:09 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:11 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:13 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:15 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:17 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:19 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:49 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:51 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:53 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:55 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:57 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:23:59 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:01 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:03 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:05 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:07 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:09 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:11 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:13 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:15 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:17 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:19 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:24:49 - Arduino state updated to weight:125g_temperature:39C;

